"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-29","07:45:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","08:11:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-29","08:37:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","08:54:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","09:13:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","09:51:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","10:03:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","11:01:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","11:15:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","11:54:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","11:58:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","12:36:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","12:39:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","13:06:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","13:42:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","14:10:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","14:22:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","14:32:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","15:53:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","15:59:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","18:16:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","18:32:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","18:48:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","19:03:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","20:09:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","20:59:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","22:28:00",1,"not recorded",NA,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-29","23:12:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","23:44:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","23:45:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","23:45:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","23:57:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-29","01:04:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-29","01:59:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-29","02:49:00",1,"not recorded",NA,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","03:08:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","05:43:00",1,"not recorded",NA,"unknown","down",NA,NA,"yes","video"
"clear creek","2012-12-29","06:06:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","06:09:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","06:12:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","06:12:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","06:15:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","06:37:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-29","06:39:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","07:25:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-29","07:25:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","07:25:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","08:44:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","09:32:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","09:44:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-29","10:08:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","10:11:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","11:31:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","11:57:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
