date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,pre_redd_substrate_class,redd_substrate_class,tail_substrate_class,velocity
2013-09-30,2013_1163,R1,NA,2,spring,TRUE,2.2606045212090424,5.029210058420118,0.5334010668021336,0.8128016256032513,0.38100076200152405,very fine gravel,very coarse sand,very coarse sand,NA
2013-09-30,2013_1164,R1,NA,2,spring,TRUE,NA,5.2832105664211335,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1165,R1,NA,2,spring,TRUE,1.1684023368046736,5.308610617221235,0.5842011684023368,0.7112014224028449,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1165,R1,NA,2,spring,TRUE,1.1684023368046736,5.308610617221235,0.5842011684023368,0.7112014224028449,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1165,R1,NA,2,spring,TRUE,1.1684023368046736,5.308610617221235,0.5842011684023368,0.7112014224028449,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1165,R1,NA,3,spring,TRUE,1.1684023368046736,5.308610617221235,0.5842011684023368,0.7112014224028449,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1166,R1,NA,2,spring,TRUE,1.8288036576073152,3.0734061468122937,0.5842011684023368,0.7112014224028449,0.5080010160020321,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1167,R1,NA,2,spring,TRUE,2.0320040640081283,2.997205994411989,0.5588011176022353,0.7112014224028449,0.5588011176022353,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1168,R1,NA,2,spring,TRUE,2.362204724409449,4.140208280416561,0.4826009652019304,0.5588011176022353,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1169,R1,NA,2,spring,TRUE,2.69240538481077,5.562611125222251,0.63500127000254,0.6858013716027432,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1169,R1,NA,2,spring,TRUE,2.69240538481077,5.562611125222251,0.63500127000254,0.6858013716027432,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1169,R1,NA,2,spring,TRUE,2.69240538481077,5.562611125222251,0.63500127000254,0.6858013716027432,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1169,R1,NA,3,spring,TRUE,2.69240538481077,5.562611125222251,0.63500127000254,0.6858013716027432,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1170,R1,NA,2,spring,TRUE,1.4478028956057913,5.105410210820422,0.5842011684023368,0.6858013716027432,0.15240030480060962,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1171,R1,NA,3,spring,TRUE,1.7780035560071121,4.4958089916179835,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1172,R1,NA,2,spring,TRUE,1.2954025908051816,3.784607569215139,0.30480060960121924,0.43180086360172726,0.12700025400050802,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1172,R1,NA,2,spring,TRUE,1.2954025908051816,3.784607569215139,0.30480060960121924,0.43180086360172726,0.12700025400050802,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1172,R1,NA,2,spring,TRUE,1.2954025908051816,3.784607569215139,0.30480060960121924,0.43180086360172726,0.12700025400050802,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1172,R1,NA,4,spring,TRUE,1.2954025908051816,3.784607569215139,0.30480060960121924,0.43180086360172726,0.12700025400050802,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1173,R1,NA,2,spring,TRUE,1.4732029464058929,3.1750063500127004,0.25400050800101603,0.38100076200152405,0.15240030480060962,coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1173,R1,NA,2,spring,TRUE,1.4732029464058929,3.1750063500127004,0.25400050800101603,0.38100076200152405,0.15240030480060962,coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1173,R1,NA,3,spring,TRUE,1.4732029464058929,3.1750063500127004,0.25400050800101603,0.38100076200152405,0.15240030480060962,coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1173,R1,NA,4,spring,TRUE,1.4732029464058929,3.1750063500127004,0.25400050800101603,0.38100076200152405,0.15240030480060962,coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1175,R1,NA,2,spring,TRUE,NA,4.572009144018288,0.4572009144018288,0.6096012192024385,0.15240030480060962,coarse sand,coarse sand,very coarse sand,NA
2013-09-03,2013_1176,R2,NA,2,spring,TRUE,2.616205232410465,4.44500889001778,0.7112014224028449,0.8636017272034545,0.5842011684023368,very coarse sand,very coarse sand,very coarse sand,2.2932002996534995
