date,reach
2016-06-29,R4
2016-06-29,R5
2016-06-29,R3
2016-06-30,R6B
2016-06-30,R6A
2016-08-19,R2
2016-08-19,R1
2016-08-23,R4
2016-08-23,R5
2016-08-23,R3
2016-08-24,R6A
2016-08-25,R6B
2016-09-13,R2
2016-09-13,R1
2016-09-14,R4
2016-09-14,R5
2016-09-14,R3
2016-09-15,R6A
2016-09-16,R6
2016-09-16,R7
2016-09-26,R2
2016-09-26,R1
2016-09-27,R4
2016-09-27,R3
2016-09-28,R5A
2016-10-11,R2
2016-10-11,R1
2016-10-12,R3
2016-10-13,R5
2016-10-13,R4
2016-10-25,R2
2016-10-25,R1
2016-10-26,R3
2016-10-27,R4
2016-10-27,R5
2017-05-30,R2
2017-05-30,R1
2017-06-01,R4
2017-06-01,R5
2017-06-01,R3
2017-06-02,R6B
2017-06-02,R6A
2017-06-12,R2
2017-06-12,R1
2017-06-13,R3
2017-06-14,R4
2017-06-14,R5
2017-06-15,R6B
2017-06-15,R7
2017-06-15,R6A
2017-06-26,R2
2017-06-26,R1
2017-06-27,R6A
2017-06-27,R3
2017-06-28,R6B
2017-06-28,R7
2017-06-28,R4
2017-06-28,R5
2017-08-03,R6B
2017-08-03,R7
2017-08-03,R6A
2017-08-21,R2
2017-08-21,R1
2017-08-24,R4
2017-08-24,R3
2017-08-25,R6
2017-08-25,R6A
2017-09-25,R2
2017-09-25,R1
2017-09-26,R3
2017-09-27,R4
2017-09-27,R5
2017-10-10,R2
2017-10-10,R1
2017-10-11,R3
2017-10-12,R4
2017-10-12,R5
2018-05-29,R1
2018-05-30,R2
2018-05-31,R4
2018-05-31,R3
2018-06-01,R6B
2018-06-01,R7
2018-06-01,R6A
2018-06-11,R2
2018-06-11,R1
2018-06-12,R3
2018-06-13,R4
2018-06-13,R5
2018-06-14,R6A
2018-06-15,R6B
2018-06-25,R1
2018-06-26,R3
2018-06-26,R2
2018-06-27,R4
2018-06-28,R6A
2018-06-29,R6B
2018-08-20,R2
2018-08-20,R1
2018-08-21,R3
2018-08-22,R4
2018-08-22,R5
2018-08-23,R6A
2018-08-24,R6B
2018-09-17,R2
2018-09-17,R1
2018-09-18,R3
2018-09-19,R4
2018-10-10,R1
2018-10-23,R2
2018-10-23,R1
2018-10-24,R3
2018-10-25,R4
2019-08-19,R2
2019-08-19,R1
2019-08-20,R3
2019-08-21,R4
2019-08-21,R5
2019-08-22,R6A
2019-08-23,R6B
2019-08-23,R7
2019-09-10,R1
2019-09-10,R2
2019-09-11,R3
2019-09-12,R4
2019-09-12,R5
2019-09-13,R6A
2019-09-13,R6B
2019-09-13,R7
2019-09-24,R1
2019-09-24,R2
2019-09-25,R3
2019-09-26,R4
2019-09-26,R5
2019-10-07,R1
2019-10-07,R2
2019-10-08,R3
2019-10-10,R5
2019-10-10,R4
2019-10-21,R1
2019-10-21,R2
2019-10-22,R3
2019-10-23,R4
2019-10-24,R5
2021-05-03,R1
2021-05-03,R2
2021-05-05,R4
2021-05-05,R5
2021-05-06,R6A
2021-05-07,R6B
2021-05-07,R7
2021-05-17,R1
2021-05-18,R2
2021-05-18,R3
2021-05-19,R4
2021-05-19,R5
2021-05-20,R6A
2021-05-21,R6B
2021-05-21,R7
2021-06-14,R1
2021-06-15,R2
2021-06-16,R3
2021-06-16,R4
2021-06-17,R6A
2021-06-18,R6B
2021-06-18,R7
2021-06-28,R1
2021-06-28,R2
2021-06-29,R3
2021-06-30,R4
